File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
repos_cpp/libgit2/src/libgit2/repository.c,2631,8,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,			if (chmod),d7c38e575be12e9cac9ff6cf52c7f46cfa5f2b4cedc617601272acf1960091d4,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/libgit2/src/libgit2/streams/openssl_dynamic.c,30,50,5,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20).",Use fgets() instead.,,"CWE-120, CWE-20","int (*BIO_meth_set_gets)(BIO_METHOD *biom, int (*gets) (BIO *, char *, int));",2aba46dbde6fa2c614086b366b02296f1c10ac53f3e09172bdeb40fe1fd6ebda,2.0.19,FF1014,https://cwe.mitre.org/data/definitions/120.html
repos_cpp/libgit2/src/libgit2/streams/openssl_dynamic.h,133,57,5,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20).",Use fgets() instead.,,"CWE-120, CWE-20","extern int (*BIO_meth_set_gets)(BIO_METHOD *biom, int (*gets) (BIO *, char *, int));",c437703e287226ac60d322b8f07c86f85a7bb952a12eb3f845d91374f981bcb9,2.0.19,FF1014,https://cwe.mitre.org/data/definitions/120.html
repos_cpp/libgit2/src/libgit2/streams/openssl_legacy.c,75,55,5,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20).",Use fgets() instead.,,"CWE-120, CWE-20","int BIO_meth_set_gets__legacy(BIO_METHOD *biom, int (*gets) (BIO *, char *, int))",b6d259e4fade414836c094b6058fa778b6e2a1691e281ac92f285ef0e44a8b48,2.0.19,FF1014,https://cwe.mitre.org/data/definitions/120.html
repos_cpp/libgit2/src/libgit2/streams/openssl_legacy.c,78,16,5,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20).",Use fgets() instead.,,"CWE-120, CWE-20",	biom->bgets = gets;,65f0593d049796457ae5fc279444bd58089b4cd8e01800260da624b42c29e17b,2.0.19,FF1014,https://cwe.mitre.org/data/definitions/120.html
repos_cpp/libgit2/src/libgit2/streams/openssl_legacy.h,50,62,5,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20).",Use fgets() instead.,,"CWE-120, CWE-20","extern int BIO_meth_set_gets__legacy(BIO_METHOD *biom, int (*gets) (BIO *, char *, int));",cf4a2fe389958fe1fb9d9a9303f3b38e413e82253dc141ce1708b5eb0bade699,2.0.19,FF1014,https://cwe.mitre.org/data/definitions/120.html
repos_cpp/libgit2/src/util/unix/posix.h,40,29,5,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20).",Reconsider approach.,,"CWE-362, CWE-20","#define p_readlink(a, b, c) readlink(a, b, c)",fc9c4a17abe65983eeef18e4d243932276ad8bffd342da3253be8b5b12569027,2.0.19,FF1035,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/libgit2/src/util/unix/posix.h,74,23,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"# define p_chmod(p,m) chmod(p, m)",442caca6617ae56d6c16b05de0a3af13a71a18be2c018b8295be62c462fe2583,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/libgit2/deps/pcre/pcre_internal.h,99,20,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,#define DPRINTF(p) printf p,8178f0f924f45b0deb3ae32e61de373acec2ebd426c20d54bea6821305269228,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/libgit2/deps/pcre/pcreposix.c,216,5,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"    sprintf(errbuf, ""%s%s%-6d"", message, addmessage, (int)preg->re_erroffset);",4671e254a2fb0a6bef7b3a93d78e75cb77e75c8af364ab5212d3468cdd9add89,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
