Dk,var,line,block,stmt
D1,i,3,B1,int i = 0
D2,j,4,B1,int j = 0
D3,k,5,B1,int k = 0
D4,n,6,B1,int n = 60
D5,i,9,B2,for (i = 0
D6,arr[i],10,B3,arr[i] = (i * i + 3 * i + 7) % 97
D7,sum,12,B4,int sum = 0
D8,i,13,B5,for (i = 0
D9,sum,14,B6,sum = sum + arr[i]
D10,arr[i],16,B8,arr[i] = arr[i] / 2
D11,arr[i],19,B10,arr[i] = arr[i] * 3 + 1
D12,even,22,B11,int even = 0
D13,odd,23,B11,int odd = 0
D14,i,24,B12,for (i = 0
D15,even,26,B14,even = even + 1
D16,odd,29,B16,odd = odd + 1
D17,threshold,32,B17,int threshold = (sum / n) % 50
D18,greater,33,B17,int greater = 0
D19,i,34,B18,for (i = 0
D20,greater,36,B20,greater = greater + 1
D21,arr[i],39,B22,arr[i] = arr[i] + threshold / 2
D22,iteration,42,B23,int iteration = 0
D23,i,44,B25,for (i = 0
D24,arr[i],46,B27,arr[i] = arr[i] + iteration
D25,arr[i],49,B29,arr[i] = arr[i] - iteration
D26,arr[i],52,B31,arr[i] = -arr[i]
D27,iteration,55,B32,iteration = iteration + 1
D28,max,57,B33,int max = arr[0]
D29,min,58,B33,int min = arr[0]
D30,i,59,B34,for (i = 1
D31,max,61,B36,max = arr[i]
D32,min,64,B38,min = arr[i]
D33,range,67,B39,int range = max - min
D34,avg,68,B39,int avg = sum / n
D35,product,69,B39,int product = 1
D36,i,70,B40,for (i = 0
D37,product,71,B41,product = (product * (arr[i] + 1)) % 10000
D38,a,73,B42,int a = avg
D39,b,74,B42,int b = range
D40,c,75,B42,int c = product
D41,d,76,B42,int d = threshold
D42,i,77,B43,for (i = 0
D43,a,79,B45,a = (a + b) % 91
D44,b,82,B47,b = (b + c) % 83
D45,c,85,B49,c = (c + d) % 77
D46,d,87,B50,d = (a + b + c) % 97
D47,final_sum,89,B51,int final_sum = 0
D48,i,90,B52,for (i = 0
D49,final_sum,91,B53,final_sum = final_sum + arr[i]
D50,pattern,93,B54,int pattern = 0
D51,i,94,B55,for (i = 0
D52,pattern,96,B57,pattern = pattern + 1
D53,arr[i],99,B59,arr[i] = arr[i] + (avg % 5)
D54,x,102,B60,int x = 0
D55,y,103,B60,int y = 1
D56,z,104,B60,int z = 1
D57,i,105,B61,for (i = 0
D58,temp,106,B62,int temp = (x + y + z) % 200
D59,x,107,B62,x = y
D60,y,108,B62,y = z
D61,z,109,B62,z = temp
D62,z,111,B64,z = z / 2
D63,z,114,B66,z = z * 3 + 1
D64,z,117,B68,z = z - 300
D65,counter,120,B69,int counter = 0
D66,x,123,B72,x = x + y
D67,y,126,B74,y = y + z
D68,z,129,B76,z = z + x
D69,x,132,B78,x = x / 3
D70,y,133,B78,y = y / 3
D71,z,134,B78,z = z / 3
D72,counter,136,B79,counter = counter + 1
D73,i,138,B80,for (i = 0
D74,aux[i],139,B81,aux[i] = arr[i] % 10
D75,i,141,B82,for (i = 0
D76,j,142,B83,for (j = i + 1
D77,temp,144,B85,int temp = aux[i]
D78,aux[i],145,B85,aux[i] = aux[j]
D79,aux[j],146,B85,aux[j] = temp
D80,checksum,150,B86,int checksum = 0
D81,i,151,B87,for (i = 0
D82,checksum,153,B89,checksum = checksum + aux[i]
D83,checksum,156,B91,checksum = checksum - aux[i]
D84,checksum,159,B93,checksum = -checksum
D85,seqA,162,B94,int seqA = 1
D86,seqB,163,B94,int seqB = 1
D87,seqC,164,B94,int seqC = 1
D88,i,165,B95,for (i = 0
D89,seqA,166,B96,seqA = (seqA + seqB) % 100
D90,seqB,167,B96,seqB = (seqB + seqC) % 90
D91,seqC,168,B96,seqC = (seqA + seqB) % 80
D92,seqA,170,B98,seqA = seqA + 3
D93,seqA,173,B100,seqA = seqA - 2
D94,seqB,176,B102,seqB = seqB - seqC / 2
D95,seqB,179,B104,seqB = seqB + seqA / 3
D96,total,182,B105,int total = 0
D97,i,183,B106,for (i = 0
D98,value,184,B107,int value = (i * seqA + seqB * seqC) % 99
D99,total,186,B109,total = total + value / 2
D100,total,189,B111,total = total + value * 3
D101,verify,192,B112,int verify = total % 111
D102,control,193,B112,int control = 0
D103,i,194,B113,for (i = 0
D104,control,195,B114,control = (control + verify + i) % 127
D105,control,197,B116,control = control / 2
D106,control,200,B118,control = control + 7
D107,control,203,B120,control = control - 120
D108,result,206,B121,int result = (x + y + z + avg + range + pattern + final_sum + checksum + total + control) % 1000
